Dataset name: ptbdb, Model name: vanilla_rnn, Transfer learning: True, RNN freeze: never, RNN Bidirectional: False, RNN Num Layers: 1
Total number of trainable parameters in vanilla_rnn model: 17413
Validation ptbdb | Epoch: 1, cross_entropy_loss: 0.694, unbalanced_acc_score: 0.72, balanced_acc_score: 0.5, roc_auc_score: 0.511, pr_auc_score: 0.725
Saving the best checkpoint...
Train ptbdb | Epoch: 2, cross_entropy_loss: 0.695, unbalanced_acc_score: 0.483, balanced_acc_score: 0.496, roc_auc_score: 0.495, pr_auc_score: 0.714
Validation ptbdb | Epoch: 2, cross_entropy_loss: 0.697, unbalanced_acc_score: 0.72, balanced_acc_score: 0.5, roc_auc_score: 0.513, pr_auc_score: 0.726
Train ptbdb | Epoch: 3, cross_entropy_loss: 0.693, unbalanced_acc_score: 0.489, balanced_acc_score: 0.512, roc_auc_score: 0.508, pr_auc_score: 0.729
Validation ptbdb | Epoch: 3, cross_entropy_loss: 0.695, unbalanced_acc_score: 0.72, balanced_acc_score: 0.5, roc_auc_score: 0.515, pr_auc_score: 0.727
Train ptbdb | Epoch: 4, cross_entropy_loss: 0.694, unbalanced_acc_score: 0.488, balanced_acc_score: 0.499, roc_auc_score: 0.497, pr_auc_score: 0.72
Validation ptbdb | Epoch: 4, cross_entropy_loss: 0.697, unbalanced_acc_score: 0.72, balanced_acc_score: 0.5, roc_auc_score: 0.519, pr_auc_score: 0.729
Train ptbdb | Epoch: 5, cross_entropy_loss: 0.694, unbalanced_acc_score: 0.452, balanced_acc_score: 0.495, roc_auc_score: 0.499, pr_auc_score: 0.726
Validation ptbdb | Epoch: 5, cross_entropy_loss: 0.7, unbalanced_acc_score: 0.72, balanced_acc_score: 0.5, roc_auc_score: 0.569, pr_auc_score: 0.751
Train ptbdb | Epoch: 6, cross_entropy_loss: 0.695, unbalanced_acc_score: 0.539, balanced_acc_score: 0.502, roc_auc_score: 0.498, pr_auc_score: 0.719
Validation ptbdb | Epoch: 6, cross_entropy_loss: 0.695, unbalanced_acc_score: 0.28, balanced_acc_score: 0.5, roc_auc_score: 0.594, pr_auc_score: 0.763
Train ptbdb | Epoch: 7, cross_entropy_loss: 0.694, unbalanced_acc_score: 0.491, balanced_acc_score: 0.496, roc_auc_score: 0.5, pr_auc_score: 0.724
Validation ptbdb | Epoch: 7, cross_entropy_loss: 0.697, unbalanced_acc_score: 0.28, balanced_acc_score: 0.5, roc_auc_score: 0.501, pr_auc_score: 0.721
Train ptbdb | Epoch: 8, cross_entropy_loss: 0.694, unbalanced_acc_score: 0.328, balanced_acc_score: 0.497, roc_auc_score: 0.486, pr_auc_score: 0.713
Validation ptbdb | Epoch: 8, cross_entropy_loss: 0.694, unbalanced_acc_score: 0.28, balanced_acc_score: 0.5, roc_auc_score: 0.502, pr_auc_score: 0.721
